ENSG	gene_name	median_expr_all_tissues	max_expr_all_tissues	num_tissues_at_least_5_TPM
ENSG00000241180.1	RP11-54O7.2	0.0	0.0	0
ENSG00000223764.2	RP11-54O7.3	2.17772	25.1543	12
ENSG00000187634.11	SAMD11	3.0178849999999997	33.2686	20
ENSG00000188976.10	NOC2L	54.51135	98.6656	56
ENSG00000187961.13	KLHL17	12.104	30.7975	43
ENSG00000187583.10	PLEKHN1	0.6830075	75.6777	7
ENSG00000187642.9	PERM1	0.44706999999999997	116.259	8
ENSG00000272512.1	RP11-54O7.17	2.858495	17.8964	15
ENSG00000188290.10	HES4	21.694699999999997	98.3885	51
ENSG00000187608.8	ISG15	29.35145	611.473	56
ENSG00000231702.2	RP11-54O7.10	0.0	0.459078	0
ENSG00000224969.1	RP11-54O7.11	0.343657	1.51817	0
ENSG00000188157.14	AGRN	22.0598	97.4061	52
ENSG00000217801.9	RP11-465B22.3	1.32613	12.8829	5
ENSG00000273443.1	RP11-54O7.18	0.11428050000000001	4.98486	0
ENSG00000237330.2	RNF223	0.0687081	33.1798	4
ENSG00000131591.17	C1orf159	8.134765	41.1168	49
ENSG00000223823.1	LINC01342	0.0754514	3.84176	0
ENSG00000207730.3	MIR200B	0.0	1.76844	0
ENSG00000207607.3	MIR200A	0.0	1.51451	0
ENSG00000198976.1	MIR429	0.0	3.23708	0
ENSG00000272141.1	RP11-465B22.8	0.129493	60.2059	16
ENSG00000205231.1	TTLL10-AS1	0.08559354999999999	8.13726	2
ENSG00000162571.13	TTLL10	0.1867865	80.7543	3
ENSG00000186891.13	TNFRSF18	1.393235	32.8886	14
ENSG00000186827.10	TNFRSF4	2.132255	23.2338	11
ENSG00000078808.16	SDF4	129.8355	260.749	56
ENSG00000176022.4	B3GALT6	13.411200000000001	29.9052	55
ENSG00000184163.3	C1QTNF12	1.720715	9.53595	6
ENSG00000260179.1	RP5-902P8.12	0.6117395	1.27888	0
ENSG00000160087.20	UBE2J2	24.564799999999998	94.4995	56
ENSG00000230415.1	LINC01786	3.398175	25.8675	18
ENSG00000162572.20	SCNN1D	8.55378	61.299	44
ENSG00000131584.18	ACAP3	56.2017	581.398	56
ENSG00000278073.1	MIR6726	0.0	0.0	0
ENSG00000169972.11	PUSL1	13.6538	30.1381	56
ENSG00000127054.20	INTS11	49.261449999999996	136.773	56
ENSG00000283712.1	MIR6727	0.0	0.0	0
ENSG00000240731.1	RP5-890O3.9	19.90025	73.0157	55
ENSG00000224051.6	CPTP	24.133	128.299	56
ENSG00000169962.4	TAS1R3	0.662051	5.80259	2
ENSG00000107404.19	DVL1	68.261	151.391	56
ENSG00000284372.1	MIR6808	0.0	0.0	0
ENSG00000162576.16	MXRA8	53.2689	371.277	54
ENSG00000175756.13	AURKAIP1	78.9096	378.875	56
ENSG00000223663.2	NDUFB4P8	0.2342845	1.19206	0
ENSG00000221978.11	CCNL2	157.9395	375.647	56
ENSG00000224870.6	RP4-758J18.2	15.17875	25.1331	56
ENSG00000242485.5	MRPL20	65.80510000000001	98.8024	56
ENSG00000272455.1	RP4-758J18.13	4.551945	16.8578	24
ENSG00000235098.8	ANKRD65	11.5634	31.3893	41
ENSG00000225905.1	RP4-758J18.7	1.8642699999999999	7.75761	7
ENSG00000205116.3	TMEM88B	0.32759400000000005	68.1565	10
ENSG00000225285.1	LINC01770	1.656715	12.5965	11
ENSG00000179403.11	VWA1	20.7639	196.879	52
ENSG00000215915.9	ATAD3C	1.780225	9.20028	6
ENSG00000160072.19	ATAD3B	22.64205	45.8617	56
ENSG00000197785.13	ATAD3A	15.61905	34.3654	55
ENSG00000205090.8	TMEM240	6.022824999999999	59.7245	32
ENSG00000160075.11	SSU72	45.13005	73.7309	56
ENSG00000215014.4	RP5-832C2.5	0.9733165	8.19143	2
ENSG00000274481.1	RP11-345P4.11	0.0	0.0739269	0
ENSG00000228594.3	FNDC10	3.279345	34.1956	24
ENSG00000272106.1	RP11-345P4.9	13.0604	62.3425	53
ENSG00000197530.12	MIB2	32.4045	83.8161	56
ENSG00000189409.13	MMP23B	0.375851	6.36362	2
ENSG00000248333.8	CDK11B	30.1408	61.8168	56
ENSG00000272004.1	RP11-345P4.10	0.0	0.369563	0
ENSG00000189339.11	SLC35E2B	21.78905	45.9684	56
ENSG00000269737.2	RP11-345P4.6	2.4425749999999997	6.59244	7
ENSG00000215914.4	MMP23A	0.521989	2.02393	0
ENSG00000008128.22	CDK11A	19.622700000000002	43.8506	56
ENSG00000227775.3	RP1-283E3.4	6.4507449999999995	17.7493	36
ENSG00000215790.6	SLC35E2	4.28878	10.7636	18
ENSG00000008130.15	NADK	34.8578	112.687	56
ENSG00000078369.17	GNB1	190.395	395.771	56
ENSG00000231050.1	RP1-140A9.1	0.761703	10.6834	2
ENSG00000169885.9	CALML6	1.0737700000000001	6.84729	2
ENSG00000178821.12	TMEM52	1.3867850000000002	84.1682	7
ENSG00000142609.17	CFAP74	0.06378	20.1559	4
ENSG00000233542.1	RP11-547D24.1	0.0522616	140.156	3
ENSG00000187730.8	GABRD	0.40795899999999996	538.42	12
ENSG00000226969.1	RP11-547D24.3	0.0	2.63498	0
ENSG00000067606.16	PRKCZ	5.146075	98.4937	30
ENSG00000271806.1	RP5-892K4.1	0.06562735	3.62977	0
ENSG00000182873.5	PRKCZ-AS1	4.406555	65.4907	24
ENSG00000162585.16	FAAP20	9.990265	22.9416	50
ENSG00000234396.3	RP11-181G12.4	0.25786549999999997	1.30469	0
ENSG00000157933.9	SKI	42.9469	235.379	56
ENSG00000116151.13	MORN1	1.559725	17.5225	8
ENSG00000272161.1	RP4-713A8.1	0.230314	13.6198	3
ENSG00000269896.2	RP4-740C4.5	2.15482	30.5097	8
ENSG00000272420.1	RP4-740C4.7	1.877	64.1167	10
ENSG00000157916.19	RER1	55.98515	113.459	56
ENSG00000157911.9	PEX10	13.0891	33.5403	55
ENSG00000149527.17	PLCH2	4.50462	163.114	27
ENSG00000224387.1	RP3-395M20.2	0.25818050000000003	10.3425	3
ENSG00000229393.1	RP3-395M20.3	0.23814200000000002	11.4878	3
ENSG00000157881.13	PANK4	15.0419	29.8023	55
ENSG00000197921.5	HES5	0.5196195	10.2978	9
ENSG00000272449.1	RP3-395M20.12	2.621775	14.726	17
ENSG00000238164.6	RP3-395M20.8	1.336065	20.3979	9
ENSG00000157873.17	TNFRSF14	64.68525	231.564	56
ENSG00000225931.3	RP3-395M20.7	0.214839	2.34041	0
ENSG00000228037.1	RP3-395M20.9	0.8128655	15.8085	5
ENSG00000157870.14	FAM213B	18.944499999999998	53.6239	53
ENSG00000142606.15	MMEL1	0.341587	34.9744	2
ENSG00000237058.1	RP13-436F16.1	0.0	1.80336	0
ENSG00000215912.12	TTC34	0.617571	15.4618	2
ENSG00000283259.1	ABC14-1188822O7.1	0.0	3.38705	0
ENSG00000233234.1	RP11-740P5.2	0.0	0.410632	0
ENSG00000231630.1	RP11-740P5.3	0.0	2.7579	0
ENSG00000169717.6	ACTRT2	0.0	370.729	2
ENSG00000177133.10	LINC00982	1.76264	114.793	19
ENSG00000142611.16	PRDM16	1.95843	37.2305	9
ENSG00000283572.1	MIR4251	0.0	0.0	0
ENSG00000226286.1	RP1-163G9.2	0.0	3.25307	0
ENSG00000279839.1	RP11-193J6.1	0.004706495	0.346625	0
ENSG00000272235.1	RP11-22L13.1	0.03460715	1.13424	0
ENSG00000130762.14	ARHGEF16	2.01577	35.1769	19
ENSG00000272088.1	RP11-168F9.2	0.2640325	1.42231	0
ENSG00000162591.15	MEGF6	10.9053	163.133	35
ENSG00000207776.1	MIR551A	0.0	0.0	0
ENSG00000238260.1	RP11-46F15.2	2.8821649999999996	14.1446	10
ENSG00000158109.14	TPRG1L	77.30055	162.464	56
ENSG00000116213.15	WRAP73	20.3218	39.7274	56
ENSG00000078900.14	TP73	0.2695875	17.5805	8
ENSG00000227589.1	RP5-1092A11.5	0.0	1.29592	0
ENSG00000235131.1	RP5-1092A11.2	0.0	0.573857	0
ENSG00000227372.11	TP73-AS1	14.441849999999999	36.3462	55
ENSG00000162592.9	CCDC27	0.0252108	49.7952	2
ENSG00000235169.7	SMIM1	2.649865	45.7143	13
ENSG00000130764.9	LRRC47	30.93495	58.7569	56
ENSG00000266075.2	RN7SL574P	0.589747	3.7906	0
ENSG00000272153.1	RP1-286D6.5	4.1647300000000005	18.4876	19
ENSG00000116198.12	CEP104	10.67135	20.3623	53
ENSG00000169598.15	DFFB	5.53007	22.1073	34
ENSG00000198912.10	C1orf174	17.49955	32.9856	56
ENSG00000236423.5	LINC01134	0.1479875	7.88285	2
ENSG00000233304.6	LINC01346	0.0	0.329979	0
ENSG00000226374.2	LINC01345	0.0	2.88527	0
ENSG00000229280.1	EEF1DP6	0.0	0.044696	0
ENSG00000235054.3	LINC01777	0.0	5.2107	2
ENSG00000227169.2	RP1-37J18.1	0.0	1.46638	0
ENSG00000232596.2	LINC01646	0.0	3.29144	0
ENSG00000196581.10	AJAP1	0.7231495	9.23443	7
ENSG00000231510.1	RP11-542C10.1	0.0	2.90553	0
ENSG00000260972.1	RP1-58B11.1	0.0	1.90403	0
ENSG00000283356.1	RP3-491M17.1	0.0	0.0	0
ENSG00000236948.2	RP11-154H17.1	0.0	0.730704	0
ENSG00000264341.1	MIR4417	0.0	0.0	0
ENSG00000264101.1	MIR4689	0.0	0.0	0
ENSG00000131697.17	NPHP4	6.009535	22.2512	37
ENSG00000069424.14	KCNAB2	7.334405	133.729	44
ENSG00000116254.17	CHD5	0.658126	97.4708	17
ENSG00000116251.9	RPL22	163.73950000000002	502.245	56
ENSG00000226944.1	RP1-120G22.11	0.957084	4.46069	0
ENSG00000158286.12	RNF207	9.73212	41.1053	43
ENSG00000116237.15	ICMT	31.4698	73.7959	55
ENSG00000225077.2	LINC00337	0.042523149999999996	2.48833	0
ENSG00000173673.7	HES3	0.0	0.430706	0
ENSG00000158292.6	GPR153	8.960709999999999	30.1312	35
ENSG00000097021.19	ACOT7	19.48735	116.833	51
ENSG00000069812.11	HES2	0.0273908	28.8997	5
ENSG00000187017.15	ESPN	0.3835575	79.5633	14
ENSG00000265392.1	MIR4252	0.0	0.0	0
ENSG00000231868.1	RP1-202O8.2	0.0	2.06183	0
ENSG00000215788.9	TNFRSF25	14.5887	406.454	49
ENSG00000171680.21	PLEKHG5	12.772400000000001	244.848	46
ENSG00000162408.10	NOL9	7.7032	17.8317	41
ENSG00000253022.1	RNU6-731P	0.0	0.0	0
ENSG00000229519.2	RP11-58A11.2	0.2254775	0.570042	0
ENSG00000173662.20	TAS1R1	0.1555445	9.6183	2
ENSG00000204859.12	ZBTB48	22.307000000000002	68.1307	56
ENSG00000162413.16	KLHL21	27.3149	83.8532	56
ENSG00000116273.5	PHF13	17.7978	88.9325	55
ENSG00000041988.15	THAP3	12.741499999999998	23.448	55
ENSG00000007923.15	DNAJC11	17.687849999999997	34.6212	55
ENSG00000228750.6	LINC01672	0.0	5.48136	2
ENSG00000237436.1	RP11-312B8.1	0.333082	1.47635	0
ENSG00000171735.18	CAMTA1	7.944495	52.8215	46
ENSG00000227950.1	RP11-312B8.2	0.0	0.0	0
ENSG00000237365.1	RP11-334N17.1	0.0	0.0	0
ENSG00000207056.1	RNU1-8P	0.0	0.0	0
ENSG00000237402.1	CAMTA1-IT1	0.116457	3.49576	0
ENSG00000237728.2	RP3-453P22.2	0.0	13.6205	2
ENSG00000225126.1	RP4-549F15.1	0.0	5.23623	2
ENSG00000270171.1	RP11-338N10.1	0.199541	23.2756	3
ENSG00000270035.1	RP11-338N10.2	0.5077155	9.28737	3
ENSG00000269978.1	RP11-338N10.3	1.0179125	11.636	5
ENSG00000049245.12	VAMP3	72.84639999999999	187.057	56
ENSG00000269925.1	RP3-467L1.6	3.178735	9.3746	11
ENSG00000049246.14	PER3	12.66865	83.6984	50
ENSG00000236266.1	RP3-467L1.4	1.0115945	4.11104	0
ENSG00000049247.13	UTS2	0.05023675	0.950092	0
ENSG00000049249.8	TNFRSF9	0.03533055	1.72983	0
ENSG00000270330.1	RP5-892F13.2	0.0	0.151701	0
ENSG00000116288.12	PARK7	185.57299999999998	303.716	56
ENSG00000116285.12	ERRFI1	67.57325	291.48	54
ENSG00000238290.1	RP11-431K24.1	0.1521635	3.00612	0
ENSG00000232848.1	CTA-215D11.4	0.0	0.140691	0
ENSG00000229305.1	RP11-431K24.2	0.0	0.0271924	0
ENSG00000227634.2	LINC01714	0.0	0.705033	0
ENSG00000200975.1	RNU1-7P	0.0	0.0	0
ENSG00000233645.1	RP11-431K24.4	0.0	0.0542719	0
ENSG00000251977.1	RNU6-991P	0.0	0.0	0
ENSG00000162426.14	SLC45A1	6.7553	28.3567	34
ENSG00000142599.17	RERE	47.15245	142.529	56
ENSG00000232912.5	RP5-1115A15.1	1.0254305000000001	8.43104	2
ENSG00000270282.1	RP5-1115A15.2	0.0	0.248076	0
ENSG00000234619.1	RPL7P11	0.0454062	0.159594	0
ENSG00000224315.2	RPL7P7	0.043883450000000004	0.21483	0
ENSG00000226545.1	RP4-633I8.3	0.0	0.0	0
ENSG00000228423.2	RP4-633I8.4	0.0	0.0305172	0
ENSG00000229716.2	RPL23AP19	0.0	0.0	0
ENSG00000074800.13	ENO1	527.3515	3707.37	56
ENSG00000274258.1	MIR6728	0.0	0.233125	0
ENSG00000236269.1	ENO1-IT1	0.218044	1.63152	0
ENSG00000230679.1	ENO1-AS1	0.42553949999999996	20.6019	2
ENSG00000201725.1	RNU6-304P	0.0	0.248352	0
ENSG00000238249.2	HMGN2P17	0.05321425	0.197725	0
ENSG00000232208.2	RP3-477M7.5	0.0	0.59795	0
ENSG00000232663.2	RP3-477M7.6	0.0	0.0	0
ENSG00000131686.14	CA6	0.0	21.359	3
ENSG00000265141.2	RN7SL451P	0.0	0.282061	0
ENSG00000197241.3	SLC2A7	0.0	0.578195	0
ENSG00000142583.17	SLC2A5	2.103865	46.4355	8
ENSG00000180758.11	GPR157	4.09454	38.5215	19
ENSG00000228526.6	MIR34AHG	5.41498	24.0335	31
ENSG00000234546.3	LINC01759	0.693926	6.10981	3
ENSG00000281937.1	RP3-510D11.4	0.1155565	1.04495	0
ENSG00000049239.12	H6PD	30.5561	104.994	55
ENSG00000171621.13	SPSB1	20.4212	88.6377	47
ENSG00000252956.1	RNA5SP40	0.0	0.0	0
ENSG00000235263.1	RP13-392I16.1	0.0	5.23196	2
ENSG00000171612.6	SLC25A33	5.6802399999999995	30.3521	32
ENSG00000231181.1	RP13-15M17.1	0.523807	1.40208	0
ENSG00000188807.12	TMEM201	5.699425	17.8981	38
ENSG00000171608.15	PIK3CD	7.746365	111.7	40
ENSG00000179840.5	PIK3CD-AS1	0.0	4.26245	0
ENSG00000233268.3	RP11-558F24.2	0.0	0.0601582	0
ENSG00000231789.2	PIK3CD-AS2	1.243785	19.4542	5
ENSG00000171603.16	CLSTN1	82.3434	414.414	56
ENSG00000271264.1	MZT1P1	0.0	0.0	0
ENSG00000280113.2	RP11-84A14.7	0.03369395	0.40278	0
ENSG00000178585.14	CTNNBIP1	18.7801	367.4	56
ENSG00000162441.11	LZIC	13.119250000000001	42.2704	55
ENSG00000228150.1	RP11-84A14.4	0.3764205	1.09647	0
ENSG00000173614.13	NMNAT1	4.43795	10.711	20
ENSG00000202415.1	RN7SKP269	0.21511249999999998	1.35617	0
ENSG00000283611.1	RP11-84A14.6	0.0	0.269989	0
ENSG00000265521.1	MIR5697	0.0	0.0	0
ENSG00000162444.11	RBP7	14.8551	295.593	45
ENSG00000130939.18	UBE4B	20.9963	45.5056	56
ENSG00000224340.1	RP11-496H15.2	0.0	0.175813	0
ENSG00000233623.2	PGAM1P11	0.0418506	0.423425	0
ENSG00000201746.1	RNU6-828P	0.0	0.2574	0
ENSG00000054523.17	KIF1B	14.45225	105.813	55
ENSG00000264881.1	MIR1273D	0.0	0.0	0
ENSG00000199562.1	RNU6-37P	0.0	0.542752	0
ENSG00000142657.20	PGD	51.3793	694.102	56
ENSG00000271989.1	RP4-736L20.3	0.0	15.0192	2
ENSG00000175279.21	CENPS	10.06484	124.582	50
ENSG00000241563.3	CORT	1.6609	47.8176	12
ENSG00000160049.11	DFFA	12.930900000000001	27.7305	55
ENSG00000142655.12	PEX14	23.09265	54.7333	56
ENSG00000243267.3	RN7SL614P	0.15955999999999998	0.54578	0
ENSG00000130940.14	CASZ1	5.60122	60.8936	30
ENSG00000272078.1	RP4-734G22.3	0.861978	8.66692	4
ENSG00000225158.2	HSPE1P24	0.0	0.0	0
ENSG00000175262.14	C1orf127	0.13033	4.27013	0
ENSG00000215785.2	CFL1P6	0.06240035	2.52576	0
ENSG00000120948.16	TARDBP	72.1784	121.205	56
ENSG00000009724.16	MASP2	3.77446	119.574	16
ENSG00000271895.2	RP4-635E18.8	23.3585	139.89	54
ENSG00000116649.9	SRM	61.3334	192.738	56
ENSG00000171824.13	EXOSC10	52.9494	141.34	56
ENSG00000226849.1	RP4-635E18.7	3.3416449999999998	14.6341	20
ENSG00000230337.1	RP4-635E18.6	0.5752605	8.588	2
ENSG00000198793.12	MTOR	13.9857	35.5128	55
ENSG00000225602.5	MTOR-AS1	0.0	0.169243	0
ENSG00000253086.1	RNU6-537P	0.0	0.0	0
ENSG00000171819.4	ANGPTL7	1.20831	1040.67	14
ENSG00000207451.1	RNU6-291P	0.0	0.0	0
ENSG00000238173.1	RPL39P6	0.0	0.0	0
ENSG00000120942.13	UBIAD1	7.98243	15.9066	40
ENSG00000238199.1	UBE2V2P3	0.07456660000000001	0.270628	0
ENSG00000224338.2	MTCYBP45	0.0	0.0	0
ENSG00000204624.7	DISP3	0.11191	10.9509	3
ENSG00000235643.1	LINC01647	0.0	3.81702	0
ENSG00000116661.9	FBXO2	16.181	251.534	48
ENSG00000132879.13	FBXO44	33.29	299.334	55
ENSG00000116663.10	FBXO6	12.5242	42.3037	56
ENSG00000116670.14	MAD2L2	16.49775	68.8396	56
ENSG00000162490.6	DRAXIN	0.08528374999999999	2.19161	0
ENSG00000177674.15	AGTRAP	26.55565	163.805	54
ENSG00000215910.7	C1orf167	0.015252749999999999	40.194	2
ENSG00000177553.6	RP11-56N19.5	0.0	3.97177	0
ENSG00000177000.10	MTHFR	11.020299999999999	25.6356	50
ENSG00000011021.21	CLCN6	19.119799999999998	40.8625	55
ENSG00000242349.5	NPPA-AS1	1.702165	31.3741	9
ENSG00000175206.10	NPPA	2.767235	28754.0	8
ENSG00000120937.8	NPPB	0.300807	1639.56	4
ENSG00000224904.1	RP5-934G17.6	0.01689545	0.321284	0
ENSG00000199347.1	RNU5E-1	0.0	4.06278	0
ENSG00000201801.1	RNU5E-4P	0.0	0.702427	0
ENSG00000116685.15	KIAA2013	42.147149999999996	74.4505	56
ENSG00000083444.16	PLOD1	44.3194	314.94	56
ENSG00000116688.16	MFN2	59.049	173.372	56
ENSG00000270914.1	RP5-1077B9.5	0.0	0.0	0
ENSG00000116691.10	MIIP	22.17485	56.2304	56
ENSG00000276869.1	MIR6729	0.0	0.0	0
ENSG00000243539.3	RN7SL649P	0.0	0.0	0
ENSG00000120949.14	TNFRSF8	0.5016865	90.1291	4
ENSG00000201135.1	RNU6-777P	0.0	0.0	0
ENSG00000227875.2	RPL23AP89	0.0	0.243703	0
ENSG00000283789.1	MIR7846	0.0	0.0	0
ENSG00000028137.18	TNFRSF1B	20.968899999999998	474.277	50
ENSG00000263676.1	MIR4632	0.0	0.0	0
ENSG00000225196.2	RPL10P17	0.0	0.157626	0
ENSG00000048707.13	VPS13D	12.443999999999999	28.9322	53
ENSG00000239149.1	SNORA59A	1.41337	7.02873	5
ENSG00000229484.1	RP5-888M10.2	0.1063675	2.34659	0
ENSG00000162496.8	DHRS3	57.1797	263.003	55
ENSG00000221340.1	RNU6ATAC18P	0.3554315	1.70672	0
ENSG00000276830.1	MIR6730	0.0	0.0	0
ENSG00000272482.1	RP11-474O21.5	1.0928155	13.1429	7
ENSG00000204518.2	AADACL4	0.0410269	0.996694	0
ENSG00000226166.2	RP11-474O21.2	0.0	0.0	0
ENSG00000188984.11	AADACL3	0.0	0.650114	0
ENSG00000157330.9	C1orf158	0.0	28.6968	2
ENSG00000116726.4	PRAMEF12	0.0	0.225733	0
ENSG00000116721.9	PRAMEF1	0.0	0.548622	0
ENSG00000228338.1	LINC01784	0.0	12.3725	2
ENSG00000239810.3	PRAMEF11	0.0	1.12827	0
ENSG00000231103.2	PRAMEF30P	0.0	0.0379256	0
ENSG00000179172.9	HNRNPCL1	0.06888895	0.279593	0
ENSG00000120952.4	PRAMEF2	0.0	0.791982	0
ENSG00000243073.3	PRAMEF4	0.0	0.0	0
ENSG00000187545.5	PRAMEF10	0.0	0.117031	0
ENSG00000204510.5	PRAMEF7	0.0	0.0	0
ENSG00000207434.1	RNU6-1072P	0.0	0.0	0
ENSG00000234064.1	PRAMEF29P	0.0	0.0	0
ENSG00000232423.6	PRAMEF6	0.0	0.0334213	0
ENSG00000274178.2	PRAMEF28P	0.0	0.077619	0
ENSG00000274764.5	PRAMEF27	0.0	0.0	0
ENSG00000277058.2	HNRNPCL3	0.0	0.026621	0
ENSG00000229571.7	PRAMEF25	0.0	0.0	0
ENSG00000277862.1	PRAMEF34P	0.0	0.0	0
ENSG00000236179.1	PRAMEF35P	0.0	0.0	0
ENSG00000275774.2	HNRNPCL2	0.0	0.144206	0
ENSG00000229978.1	PRAMEF36P	0.0	0.0	0
ENSG00000233336.1	RP13-221M14.2	0.0	0.0	0
ENSG00000280267.4	PRAMEF26	0.0	0.0	0
ENSG00000179412.10	HNRNPCL4	0.0	0.0351674	0
ENSG00000204505.4	PRAMEF9	0.0	0.0	0
ENSG00000279169.2	PRAMEF13	0.0	0.024794	0
ENSG00000279804.2	PRAMEF18	0.0	0.0921671	0
ENSG00000250894.1	PRAMEF31P	0.0	0.0623416	0
ENSG00000270601.4	PRAMEF5	0.0	0.0	0
ENSG00000231219.1	PRAMEF32P	0.0	0.0	0
ENSG00000207511.1	RNU6-771P	0.0	0.0	0
ENSG00000182330.10	PRAMEF8	0.0	0.0260005	0
ENSG00000237700.2	PRAMEF33	0.0	0.0588727	0
ENSG00000204501.7	PRAMEF15	0.0	0.0307094	0
ENSG00000228229.2	RP11-219C24.10	0.0	0.0	0
ENSG00000204481.7	PRAMEF14	0.0	0.475341	0
ENSG00000204480.7	PRAMEF19	0.0	0.190161	0
ENSG00000204479.4	PRAMEF17	0.0	0.0651071	0
ENSG00000204478.9	PRAMEF20	0.0	0.188004	0
ENSG00000162494.5	LRRC38	0.122842	25.3749	5
ENSG00000259961.1	RP4-597A16.2	0.0	1.4453	0
ENSG00000215909.3	BRWD1P1	0.0	0.0	0
ENSG00000162493.16	PDPN	8.120439999999999	56.7002	39
ENSG00000222952.1	RNA5SP41	0.0	0.0	0
ENSG00000237445.2	CTA-520D8.2	0.0	0.672001	0
ENSG00000253085.1	SCARNA11	0.0	0.305494	0
ENSG00000116731.22	PRDM2	17.24355	36.7305	54
ENSG00000189337.16	KAZN	9.197105	74.5677	40
ENSG00000252151.1	RNU6-1265P	0.0	0.0	0
ENSG00000231606.1	RP11-344F13.1	0.0	0.403035	0
ENSG00000234593.2	RP4-704D23.1	0.0	1.49239	0
ENSG00000235829.1	TBCAP2	0.0	0.282335	0
ENSG00000175147.11	TMEM51-AS1	0.961291	39.9691	6
ENSG00000171729.13	TMEM51	11.1244	40.9518	39
ENSG00000204464.7	C1orf195	0.0	1.17424	0
ENSG00000215720.4	RP1-21O18.3	0.0	0.163105	0
ENSG00000278480.1	RP5-903E17.2	0.0	0.659704	0
ENSG00000142621.19	FHAD1	0.160164	24.3837	2
ENSG00000233485.1	RP3-467K16.2	0.0873716	2.05602	0
ENSG00000236045.1	RP3-467K16.7	0.05117655	0.566055	0
ENSG00000228140.1	RP3-467K16.4	0.05102475	13.2892	2
ENSG00000142634.12	EFHD2	56.43625	416.924	55
ENSG00000162438.11	CTRC	0.30249	3339.98	2
ENSG00000142615.7	CELA2A	0.2464845	5127.86	2
ENSG00000215704.9	CELA2B	0.14061200000000001	1079.49	2
ENSG00000132906.17	CASP9	8.279085	56.4885	51
ENSG00000116138.12	DNAJC16	5.963045	10.2755	39
